  -1.0000000000000000        3.9456839659789598E-019   0.0000000000000000        3.9456839659789598E-019
 -0.99980000000000002        4.3644087211128270E-005   4.4584140867054423E-005   9.4005365592615242E-007
 -0.99960000000000004        8.7252415997822856E-005   8.9128304865210284E-005   1.8758888673874274E-006
 -0.99939999999999996        1.3082500258060386E-004   1.3363251511672170E-004   2.8075125361178379E-006
 -0.99919999999999998        1.7436186317666035E-004   1.7809679473421158E-004   3.7349315575512334E-006
 -0.99900000000000000        2.1786301399999989E-004   2.2252116682072720E-004   4.6581528207273134E-006
 -0.99880000000000002        2.6132847126137917E-004   2.6690565446987891E-004   5.5771832084997399E-006
 -0.99860000000000004        3.0475825116830748E-004   3.1125028076553485E-004   6.4920295972273703E-006
 -0.99839999999999995        3.4815236992506059E-004   3.5555506878204302E-004   7.4026988569824239E-006
 -0.99819999999999998        3.9151084373260616E-004   3.9982004158420348E-004   8.3091978515973199E-006
 -0.99800000000000000        4.3483368878873208E-004   4.4404522222715737E-004   9.2115334384252853E-006
 -0.99780000000000002        4.7812092128797539E-004   4.8823063375644238E-004   1.0109712468466989E-005
 -0.99760000000000004        5.2137255742160658E-004   5.3237629920835361E-004   1.1003741786747034E-005
 -0.99739999999999995        5.6458861337767838E-004   5.7648224160922190E-004   1.1893628231543518E-005
 -0.99719999999999998        6.0776910534094048E-004   6.2054848397610773E-004   1.2779378635167254E-005
 -0.99700000000000000        6.5091404949295590E-004   6.6457504931630162E-004   1.3660999823345726E-005
 -0.99680000000000002        6.9402346201202466E-004   7.0856196062771271E-004   1.4538498615688047E-005
 -0.99660000000000004        7.3709735907320805E-004   7.5250924089861893E-004   1.5411881825410875E-005
 -0.99639999999999995        7.8013575684833037E-004   7.9641691310786134E-004   1.6281156259530965E-005
 -0.99619999999999997        8.2313867150590259E-004   8.4028500022464980E-004   1.7146328718747211E-005
 -0.99600000000000000        8.6610611921126635E-004   8.8411352520856301E-004   1.8007405997296660E-005
 -0.99580000000000002        9.0903811612650547E-004   9.2790251100988153E-004   1.8864394883376053E-005
 -0.99560000000000004        9.5193467841044770E-004   9.7165198056919921E-004   1.9717302158751512E-005
 -0.99539999999999995        9.9479582221869605E-004   1.0153619568176731E-003   2.0566134598977003E-005
 -0.99519999999999997        1.0376215637035347E-003   1.0590324626768288E-003   2.1410898973294162E-005
 -0.99500000000000000        1.0804119190140822E-003   1.1026635210587832E-003   2.2251602044701026E-005
 -0.99480000000000002        1.1231669042962027E-003   1.1462551548661604E-003   2.3088250569957679E-005
 -0.99460000000000004        1.1658865356924783E-003   1.1898073869919257E-003   2.3920851299447359E-005
 -0.99439999999999995        1.2085708293422958E-003   1.2333202403196630E-003   2.4749410977367280E-005
 -0.99419999999999997        1.2512198013817353E-003   1.2767937377234639E-003   2.5573936341728633E-005
 -0.99399999999999999        1.2938334679436577E-003   1.3202279020678998E-003   2.6394434124242094E-005
 -0.99380000000000002        1.3364118451577229E-003   1.3636227562079384E-003   2.7210911050215471E-005
 -0.99360000000000004        1.3789549491502813E-003   1.4069783229892496E-003   2.8023373838968312E-005
 -0.99339999999999995        1.4214627960444912E-003   1.4502946252480109E-003   2.8831829203519645E-005
 -0.99319999999999997        1.4639354019602099E-003   1.4935716858106296E-003   2.9636283850419717E-005
 -0.99299999999999999        1.5063727830140921E-003   1.5368095274943538E-003   3.0436744480261731E-005
 -0.99280000000000002        1.5487749553195229E-003   1.5800081731067728E-003   3.1233217787249908E-005
 -0.99260000000000004        1.5911419349866689E-003   1.6231676454461219E-003   3.2025710459452966E-005
 -0.99239999999999995        1.6334737381224677E-003   1.6662879673011721E-003   3.2814229178704376E-005
 -0.99219999999999997        1.6757703808305254E-003   1.7093691614509798E-003   3.3598780620454479E-005
 -0.99199999999999999        1.7180318792112718E-003   1.7524112506655809E-003   3.4379371454309115E-005
 -0.99180000000000001        1.7602582493618862E-003   1.7954142577051579E-003   3.5156008343271766E-005
 -0.99160000000000004        1.8024495073763020E-003   1.8383782053206510E-003   3.5928697944348975E-005
 -0.99139999999999995        1.8446056693452262E-003   1.8813031162534244E-003   3.6697446908198197E-005
 -0.99119999999999997        1.8867267513560401E-003   1.9241890132355166E-003   3.7462261879476480E-005
 -0.99099999999999999        1.9288127694929577E-003   1.9670359189895015E-003   3.8223149496543823E-005
 -0.99080000000000001        1.9708637398369315E-003   2.0098438562284049E-003   3.8980116391473373E-005
 -0.99060000000000004        2.0128796784656578E-003   2.0526128476559824E-003   3.9733169190324640E-005
 -0.99039999999999995        2.0548606014536238E-003   2.0953429159664416E-003   4.0482314512817804E-005
 -0.99019999999999997        2.0968065248719880E-003   2.1380340838445255E-003   4.1227558972537545E-005
 -0.98999999999999999        2.1387174647887358E-003   2.1806863739656790E-003   4.1968909176943233E-005
 -0.98980000000000001        2.1805934372685948E-003   2.2232998089959100E-003   4.2706371727315156E-005
 -0.98960000000000004        2.2224344583730402E-003   2.2658744115916785E-003   4.3439953218638288E-005
 -0.98939999999999995        2.2642405441603221E-003   2.3084102044002297E-003   4.4169660239907604E-005
 -0.98919999999999997        2.3060117106853914E-003   2.3509072100591777E-003   4.4895499373786337E-005
 -0.98899999999999999        2.3477479739999981E-003   2.3933654511968938E-003   4.5617477196895680E-005
 -0.98880000000000001        2.3894493501526452E-003   2.4357849504323126E-003   4.6335600279667332E-005
 -0.98860000000000003        2.4311158551885933E-003   2.4781657303749594E-003   4.7049875186366049E-005
 -0.98839999999999995        2.4727475051498486E-003   2.5205078136249504E-003   4.7760308475101789E-005
